id,name,linkedin_url,website,industry,employee_count,country,city,founded_year,company_age,gtm_score,gtm_band,demand_score,conversion_score,delivery_score,DEM-ICP-01,DEM-FIT-02,DEM-MSG-03,DEM-CHN-04,DEM-ATT-05,DEM-CNT-06,CON-SLA-01,CON-QLF-02,CON-STG-03,CON-OBJ-04,CON-WNL-05,CON-PGE-06,DEL-TTV-01,DEL-ONB-02,DEL-HLT-03,DEL-RET-04,DEL-QBR-05,DEL-ADV-06,follower_count,followers_per_employee,speciality_count,description_length,is_verified,has_tagline,has_website,page_verified
101197651,Growwr AI,https://www.linkedin.com/company/growwr/,www.growwr.co,Software Development,4.0,US,San Francisco,2024.0,2.0,30.7,Foundations,39.9,23.4,27.1,1,2,2,2,3,2,1,1,1,1,2,1,2,1,2,1,1,1,4874,1218.5,10,487,0,1,1,False
9214449,Blackbird Ventures,https://www.linkedin.com/company/blackbirdventures/,https://www.blackbirdventures.com,Venture Capital and Private Equity Principals,7.0,US,,2013.0,13.0,28.6,Foundations,29.7,30.2,22.9,2,1,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,2,4710,672.9,4,447,0,0,1,False
67232168,ZapScale,https://www.linkedin.com/company/zapscale/,https://zapscale.com/,Software Development,13.0,US,Delaware,2021.0,5.0,37.6,Foundations,33.0,33.6,54.5,2,1,2,2,1,2,1,2,2,1,3,1,1,3,5,4,2,1,5143,395.6,13,138,0,1,1,False
3163100,Pooki's Mahi®,https://www.linkedin.com/company/pookismahi/,https://pookismahi.com,Software Development,6.0,US,San Francisco,,,27.8,Foundations,36.2,23.4,20.0,1,2,3,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,4877,812.8,12,1080,0,1,1,False
433779,Playboox,https://www.linkedin.com/company/playboox/,http://www.playboox.com,Business Consulting and Services,6.0,US,San Francisco,,,40.0,Process & Response,46.8,39.7,26.8,3,1,4,2,2,2,1,2,4,3,1,1,1,2,2,1,1,1,1652,275.3,5,1999,0,1,1,False
788397,Just Digital - SaaS Recruitment | Executive Search,https://www.linkedin.com/company/just-digital/,http://www.justdigitallondon.co.uk,Staffing and Recruiting,5.0,GB,London,2009.0,17.0,37.3,Foundations,43.2,33.6,32.7,2,2,4,2,1,2,1,2,2,1,3,1,1,2,2,1,2,2,12926,2585.2,12,1634,0,1,1,False
68044475,RESEAT,https://www.linkedin.com/company/reseatid/,https://www.reseat.com,"Technology, Information and Internet",12.0,US,San José,2020.0,6.0,31.5,Foundations,29.4,37.6,23.6,1,1,2,2,1,2,3,2,2,1,2,1,1,1,1,2,1,1,5144,428.7,14,599,0,1,1,False
90505274,Auro Digital Inc,https://www.linkedin.com/company/auro-digital-inc/,https://aurodigital.ai/,Desktop Computing Software Products,19.0,US,Miami,,,27.1,Foundations,33.0,23.4,22.9,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,4719,248.4,12,590,0,1,1,False
100582894,We're Not Marketers 💀,https://www.linkedin.com/company/we-re-not-marketers/,www.notmarketers.com,Entertainment Providers,7.0,US,Spicy Town,2023.0,3.0,31.7,Foundations,42.3,26.9,20.0,2,2,2,2,1,4,1,2,1,1,2,1,1,1,1,1,1,1,4580,654.3,5,488,0,1,1,False
3024122,Bay Leaf Digital,https://www.linkedin.com/company/bay-leaf-digital/,https://www.bayleafdigital.com,Advertising Services,19.0,US,Grapevine,2013.0,13.0,48.4,Process & Response,65.7,40.0,30.9,3,2,4,5,2,4,1,2,4,1,2,2,1,1,1,4,1,1,4530,238.4,21,2000,0,1,1,False
10882608,Ecobot,https://www.linkedin.com/company/ecobot/,http://ecobot.com,Software Development,19.0,US,Asheville,2018.0,8.0,35.5,Foundations,39.4,37.6,23.3,2,1,2,4,1,2,3,2,2,1,2,1,1,2,1,1,1,1,4554,239.7,17,346,0,1,1,False
